conference_topic,journal,extracted_concept
Taster’s culture and wine appreciation,food quality,cultural studies
Wine tasting experience,food quality,wine tasting
Wine categorisation,food quality,wine studies
Wine categorisation,food quality,classification
Food manufacturing automation,food processing automation,food manufacturing
"Food manufacturing software, food safety software, food engineering software",food processing automation,food engineering
"Food manufacturing software, food safety software, food engineering software",food processing automation,food safety
Sustainable food packaging and food packaging automation,food processing automation,food packaging
Sustainable food packaging and food packaging automation,food processing automation,automation
Food and beverage quality assurance,food processing automation,food quality assurance
"Food safety solutions, food waste solutions, food safety management systems, and more!",food processing automation,food safety
"Food safety solutions, food waste solutions, food safety management systems, and more!",food processing automation,food waste management
Food and beverage manufacturing solutions,food processing automation,food manufacturing
Food and beverage manufacturing solutions,food processing automation,beverage manufacturing
Food safety regulation: an introduction for entrepreneurs,food processing facilities,food safety
Fortifying food production: automation and the critical role of cybersecurity,food processing facilities,cybersecurity
Fortifying food production: automation and the critical role of cybersecurity,food processing facilities,food production
Fortifying food production: automation and the critical role of cybersecurity,food processing facilities,automation
Effectiveness of surface treatments and materials against biofilm formation,food processing facilities,biofilms
Effectiveness of surface treatments and materials against biofilm formation,food processing facilities,materials science
Impact of biofilm control on food safety and shelf life,food processing facilities,food safety
functional foods,food regulations,food science
nutritional aspects,food regulations,nutrition
food safety and quality,food safety,food quality
food safety and quality,food safety,food safety
risk-based food safety and control,food safety,food control
risk-based food safety and control,food safety,food safety
irradiation dosimetry and generic treatments,food safety,food processing
irradiation dosimetry and generic treatments,food safety,dosimetry
"rapid, field-deployable screening tests for food contaminants",food safety,food safety
"rapid, field-deployable screening tests for food contaminants",food safety,food contaminants
